level,endtime,length
DL2, 58642,"24, 29, 27, 14, 18, 16, 12, 17, 142, 24, 101, 57, 65, 66, 15, 12, 45, 21, 13, 26, 42, 26, 12, 15, 8, 8, 11, 5, 5, 6, 5, 20, 52, 12, 28, 40, 21, 24, 40, 52, 49, 56, 39, 26, 18, 43, 39, 35, 13, 14, 10, 37, 33, 13, 156, 65, 39, 83, 92, 11, 21, 49, 53, 16, 72, 66, 26, 14, 12, 45, 26, 15, 42, 93, 16, 43, 15, 54, 11, 55, 35, 26, 77, 21, 16, 10, 11, 16, 16, 8, 18, 14, 23, 26, 31, 23, 10, 60, 120, 6, 24, 29, 7, 22, 31, 16, 49, 24, 20, 25, 39, 48, 24, 44, 16, 23, 16, 56, 118, 91, 17, 32, 35, 16, 30, 25, 33, 31, 22, 17, 32, 74, 15, 20, 28, 25, 20, 13, 33, 35, 103, 20"
DL3, 58875,"39, 71, 15, 70, 14, 24"
DL2,58918,43
DL1, 58969,"10, 32, 9"
DL2, 59137,"26, 13, 49, 18, 17, 16, 29"
DL1, 59269,"14, 10, 17, 39, 34, 18"
DL2, 59338,"31, 29, 9"
DL1, 59487,"23, 7, 8, 6, 26, 10, 6, 8, 7, 6, 5, 5, 11, 5, 6, 10"
DL2, 59499,"7, 5"
DL1, 59552,"8, 22, 23"
DL2, 59660,"13, 29, 12, 6, 8, 11, 17, 12"
DL1, 59777,"12, 11, 8, 10, 10, 12, 8, 22, 11, 13"
DL2, 59958,"11, 170"
DL1,59979,21
DL2, 60048,"17, 13, 8, 9, 10, 12"
DL1,60064,16
DL2, 60169,"30, 6, 15, 18, 14, 13, 9"
DL1,60186,17
DL2,60266,80
DL1, 60307,"22, 19"
DL2, 60385,"7, 7, 6, 8, 8, 42"
DL1, 60490,"64, 18, 23"
DL2, 60551,"17, 44"
DL3, 61040,"84, 43, 17, 19, 27, 12, 10, 8, 27, 16, 16, 20, 10, 8, 19, 15, 19, 61, 31, 27"
DL1, 61403,"98, 24, 22, 11, 9, 26, 39, 11, 11, 33, 24, 10, 23, 22"
DL3, 61679,"31, 33, 27, 12, 24, 17, 9, 17, 29, 13, 13, 51"
DL1, 61967,"21, 35, 13, 11, 12, 9, 12, 31, 11, 15, 18, 21, 11, 21, 47"
DL2, 62024,"22, 35"
DL3, 62271,"29, 16, 32, 22, 16, 31, 13, 17, 21, 32, 18"
DL1, 62295,"11, 13"
DL3,62311,16
DL2, 62355,"17, 9, 18"
DL3, 63105,"9, 11, 16, 17, 21, 15, 9, 14, 9, 11, 12, 10, 13, 25, 20, 38, 12, 9, 15, 26, 40, 26, 12, 10, 25, 21, 11, 21, 22, 18, 23, 32, 14, 14, 11, 11, 9, 12, 11, 15, 12, 9, 18, 13, 9, 8, 6, 5"
DL1, 63145,"13, 19, 8"
DL2, 63328,"8, 5, 13, 16, 21, 120"
DL1, 63385,"17, 13, 10, 9, 8"
DL2,63396,11
DL1, 63458,"14, 9, 14, 25"
DL2,63460,2
DL3,63476,16
DL1,63506,30
DL3, 64213,"76, 14, 13, 42, 20, 17, 24, 22, 18, 42, 15, 56, 54, 88, 17, 9, 7, 10, 18, 80, 33, 20, 12"
DL1, 64338,"23, 34, 32, 23, 13"
DL2, 64552,"23, 35, 45, 49, 19, 22, 21"
DL3, 65269,"23, 9, 7, 11, 6, 43, 53, 37, 35, 59, 13, 56, 24, 11, 18, 28, 55, 11, 15, 11, 11, 32, 25, 27, 25, 13, 28, 31"
DL2, 65635,"20, 21, 17, 10, 10, 8, 10, 48, 14, 22, 11, 5, 31, 8, 19, 40, 37, 35"
DL3, 65807,"29, 19, 23, 10, 7, 15, 9, 17, 18, 25"
DL1, 65861,"32, 22"
DL2, 65963,"42, 21, 39"
DL3, 66219,"38, 43, 20, 10, 17, 19, 16, 12, 9, 8, 16, 10, 10, 13, 15"
DL2, 66409,"27, 69, 27, 26, 14, 27"
DL3, 66586,"83, 27, 27, 20, 20"
DL2, 66663,"21, 17, 39"
DL3, 66988,"62, 129, 12, 9, 9, 8, 9, 6, 7, 18, 6, 10, 5, 35"
DL2, 67072,"51, 33"
DL3, 67725,"23, 27, 75, 20, 17, 11, 46, 12, 15, 11, 11, 15, 13, 16, 21, 32, 19, 18, 15, 23, 19, 17, 23, 14, 7, 9, 10, 11, 13, 35, 16, 39"
DL2, 67840,"27, 67, 21"
DL3, 69119,"8, 22, 25, 41, 113, 31, 13, 27, 16, 40, 22, 13, 34, 28, 55, 9, 11, 11, 17, 31, 11, 9, 12, 11, 17, 20, 16, 23, 85, 13, 78, 38, 18, 34, 20, 63, 94, 26, 19, 45, 15, 22, 23"
LIMBO, 69594,"15, 79, 37, 35, 51, 33, 31, 21, 70, 103"
DL1, 69671,"26, 30, 21"
DL2, 69822,"59, 92"
DL3, 70227,"41, 18, 31, 13, 13, 22, 26, 14, 20, 36, 11, 13, 9, 10, 69, 59"
LIMBO, 70653,"87, 126, 55, 36, 17, 14, 23, 68"
DL2, 70884,"55, 103, 26, 10, 14, 23"
LIMBO, 71365,"74, 33, 19, 33, 32, 29, 24, 29, 19, 30, 21, 30, 34, 74"
DL3, 71449,"37, 21, 9, 8, 9"
DL2, 71727,"56, 31, 155, 36"
LIMBO, 71873,"22, 28, 11, 26, 24, 35"
DL3, 71983,"30, 13, 12, 11, 44"
LIMBO, 72710,"34, 40, 35, 63, 59, 35, 54, 36, 66, 23, 24, 91, 34, 90, 43"
DL3, 72802,"14, 13, 10, 15, 8, 10, 22"
DL2, 72919,"22, 37, 21, 19, 18"
DL3,72934,15
DL1,72960,26
LIMBO, 73184,"50, 21, 11, 88, 14, 15, 25"
DL3, 73313,"21, 6, 31, 16, 24, 16, 15"
LIMBO, 74123,"54, 20, 27, 11, 20, 29, 15, 12, 32, 30, 24, 35, 161, 43, 83, 61, 28, 62, 25, 14, 24"
COBB, 74322,"43, 17, 23, 26, 36, 13, 16, 25"
LIMBO, 74369,"26, 21"
COBB, 74743,"37, 33, 23, 15, 31, 48, 28, 46, 8, 19, 86"
LIMBO,74785,42
COBB, 75212,"22, 22, 50, 10, 16, 54, 25, 21, 10, 12, 26, 17, 44, 48, 25, 25"
LIMBO,75238,26
COBB,75272,34
LIMBO,75295,23
COBB, 75329,"25, 9"
LIMBO,75347,18
COBB, 75377,"10, 20"
LIMBO, 75534,"23, 15, 16, 22, 55, 26"
DL1,75575,41
DL3, 76074,"14, 29, 17, 26, 10, 5, 27, 21, 17, 10, 12, 22, 15, 48, 9, 4, 8, 7, 78, 17, 17, 14, 44, 12, 16"
DL1,76100,26
DL2, 76185,"21, 18, 16, 30"
DL3, 76310,"77, 48"
LIMBO, 76586,"14, 9, 19, 20, 15, 31, 13, 19, 45, 22, 10, 17, 16, 16, 10"
DL1, 76641,"30, 25"
DL2,76675,34
DL3, 76693,"10, 8"
LIMBO, 77372,"25, 24, 19, 20, 36, 18, 16, 19, 51, 36, 99, 22, 27, 21, 46, 26, 10, 62, 6, 5, 6, 11, 13, 11, 17, 9, 14, 10"
DL3,77387,15
LIMBO, 77435,"41, 7"
DL3,77477,42
DL1,77521,44
DL2, 77636,"21, 21, 23, 10, 9, 31"
DL3, 78257,"41, 36, 34, 109, 32, 24, 23, 52, 137, 100, 33"
DL2, 78347,"49, 41"
DL3, 78579,"17, 18, 13, 22, 20, 23, 36, 46, 24, 13"
DL2,78598,19
DL1,78615,17
DL3, 78995,"14, 55, 76, 40, 50, 57, 18, 26, 5, 18, 21"
DL2, 79099,"12, 24, 44, 24"
DL1,79127,28
DL3, 79207,"13, 23, 12, 15, 17"
LIMBO, 79310,"12, 38, 15, 9, 17, 12"
DL3, 79348,"15, 13, 10"
DL2, 79374,"10, 16"
DL3,79382,8
DL2,79391,9
DL3, 79437,"13, 15, 18"
LIMBO, 79529,"36, 12, 12, 14, 18"
DL3, 79601,"13, 12, 29, 18"
DL2, 79690,"30, 26, 20, 13"
DL1, 79834,"19, 20, 9, 48, 48"
LIMBO, 80009,"17, 34, 38, 11, 32, 43"
COBB, 80086,"27, 26, 24"
LIMBO, 80502,"51, 38, 36, 62, 112, 47, 27, 43"
DL1, 81402,"31, 26, 98, 30, 38, 43, 36, 157, 26, 31, 19, 191, 58, 15, 32, 24, 23, 22"
LIMBO, 82544,"30, 67, 21, 44, 42, 42, 27, 170, 56, 59, 178, 39, 33, 60, 40, 27, 92, 41, 22, 52"
REAL, 84704,"54, 156, 149, 129, 42, 24, 32, 80, 52, 78, 55, 15, 45, 19, 32, 11, 20, 22, 34, 115, 22, 26, 24, 95, 14, 39, 92, 61, 56, 112, 36, 23, 29, 40, 25, 45, 17, 240"
