num,length,end,level
718,16,22846,REAL
719,11,22857,REAL
720,9,22866,REAL
721,5,22871,REAL
722,10,22881,REAL
723,11,22892,REAL
724,23,22915,REAL
725,12,22927,REAL
726,12,22939,REAL
727,13,22952,REAL
728,16,22968,REAL
729,27,22995,REAL
730,21,23016,REAL
731,11,23027,REAL
732,37,23064,REAL
733,7,23071,REAL
734,10,23081,REAL
735,9,23090,REAL
736,39,23129,REAL
737,11,23140,REAL
738,26,23166,REAL
739,16,23182,REAL
740,21,23203,REAL
741,26,23229,REAL
742,27,23256,REAL
743,15,23271,REAL
744,8,23279,REAL
745,31,23310,REAL
746,12,23322,REAL
747,20,23342,REAL
748,74,23416,REAL
749,38,23454,REAL
750,29,23483,REAL
751,46,23529,REAL
752,23,23552,REAL
753,51,23603,DL1
754,26,23629,DL1
755,30,23659,DL1
756,21,23680,DL1
757,27,23707,DL1
758,15,23722,DL1
759,14,23736,DL1
760,126,23862,DL1
761,226,24088,DL1
762,14,24102,DL1
763,91,24193,DL1
764,19,24212,DL1
765,45,24257,DL1
766,15,24272,DL1
767,42,24314,DL1
768,22,24336,DL1
769,22,24358,DL1
770,57,24415,DL1
771,22,24437,DL1
772,62,24499,REAL
773,23,24522,REAL
774,25,24547,REAL
775,28,24575,REAL
776,34,24609,REAL
777,19,24628,REAL
778,7,24635,REAL
779,32,24667,REAL
780,37,24704,REAL
781,35,24739,REAL
782,45,24784,REAL
783,29,24813,REAL
784,11,24824,REAL
785,19,24843,REAL
786,17,24860,REAL
787,69,24929,REAL
788,24,24953,REAL
789,26,24979,REAL
790,70,25049,REAL
791,18,25067,REAL
792,42,25109,REAL
793,36,25145,REAL
794,40,25185,REAL
795,30,25215,REAL
796,94,25309,REAL
797,11,25320,REAL
798,29,25349,REAL
799,27,25376,REAL
800,112,25488,REAL
801,38,25526,REAL
802,21,25547,REAL
803,53,25600,REAL
804,21,25621,REAL
805,48,25669,REAL
806,113,25782,REAL
807,40,25822,REAL
808,55,25877,REAL
809,17,25894,COBB
810,22,25916,COBB
811,15,25931,COBB
812,16,25947,COBB
813,10,25957,COBB
814,13,25970,COBB
815,22,25992,COBB
816,45,26037,REAL
817,18,26055,REAL
818,36,26091,REAL
819,34,26125,REAL
820,16,26141,REAL
821,15,26156,REAL
822,16,26172,COBB
823,16,26188,REAL
824,12,26200,REAL
825,9,26209,REAL
826,54,26263,REAL
827,21,26284,REAL
828,7,26291,REAL
829,51,26342,REAL
830,34,26376,REAL
831,27,26403,REAL
832,21,26424,REAL
833,19,26443,REAL
834,206,26649,REAL
835,59,26708,REAL
836,16,26724,REAL
837,30,26754,REAL
838,26,26780,REAL
839,11,26791,REAL
840,53,26844,REAL
841,33,26877,REAL
842,30,26907,REAL
843,27,26934,REAL
844,33,26967,REAL
845,27,26994,REAL
846,17,27011,REAL
847,33,27044,REAL
848,38,27082,REAL
849,32,27114,REAL
850,115,27229,REAL
851,38,27267,REAL
852,179,27446,REAL
853,25,27471,REAL
854,89,27560,REAL
855,34,27594,REAL
856,10,27604,REAL
857,64,27668,REAL
858,21,27689,REAL
859,16,27705,REAL
860,26,27731,REAL
861,42,27773,REAL
862,22,27795,REAL
863,21,27816,REAL
864,57,27873,REAL
865,66,27939,REAL
866,42,27981,REAL
867,96,28077,REAL
868,27,28104,REAL
869,49,28153,REAL
870,20,28173,REAL
871,55,28228,REAL
872,56,28284,REAL
873,20,28304,REAL
874,45,28349,REAL
875,35,28384,REAL
876,37,28421,REAL
877,30,28451,REAL
878,50,28501,REAL
879,42,28543,REAL
880,37,28580,REAL
881,22,28602,REAL
